label,precision,recall,f1,support
yes,0.9724409448818898,0.96484375,0.9686274509803922,256
no,0.9623430962343096,0.9126984126984127,0.9368635437881874,252
up,0.9065743944636678,0.9632352941176471,0.9340463458110517,272
down,0.9254901960784314,0.932806324110672,0.9291338582677166,253
left,0.9169675090252708,0.951310861423221,0.9338235294117647,267
right,0.975103734439834,0.9073359073359073,0.9400000000000001,259
on,0.9596774193548387,0.967479674796748,0.9635627530364373,246
off,0.9955947136563876,0.8625954198473282,0.9243353783231084,262
stop,0.9641434262948207,0.9718875502008032,0.968,249
go,0.9276595744680851,0.8685258964143426,0.897119341563786,251
unknown,0.9772727272727273,0.9873477038425492,0.9822843822843823,4268
silence,0.9734848484848485,1.0,0.9865642994241842,257
